Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
8-Apr-23,20,1,NSW,ATC,RAND,ATC OAKS,2400,"1,000,000",3-Y-O,F,SW,ATC AUSTRALIAN OAKS
8-Apr-23,415,1,NSW,ATC,RAND,QUEEN OF THE TURF STAKES,1600,"1,000,000",3YO&Up,F&M,WFA,QUEEN OF THE TURF STAKES
8-Apr-23,441,2,NSW,ATC,RAND,ARROWFIELD 3YO SPRINT,1200,"1,000,000",3-Y-O,O,SW,ROYAL SOVEREIGN STAKES
8-Apr-23,321,2,NSW,ATC,RAND,PERCY SYKES STAKES,1200,"1,000,000",2-Y-O,F,SWP,KEITH MACKAY HANDICAP
8-Apr-23,650,2,NSW,ATC,RAND,SAPPHIRE STAKES,1200,"300,000",3YO&Up,F&M,SWP,SAPPHIRE STAKES
8-Apr-23,259,4,NSW,ATC,RAND,FERNHILL HANDICAP,1600,"160,000",2-Y-O,O,Qlty,FERNHILL HANDICAP
8-Apr-23,659,4,NSW,ATC,RAND,SOUTH PACIFIC CLASSIC,1400,"160,000",3-Y-O,O,Qlty,SOUTH PACIFIC CLASSIC
8-Apr-23,714,4,VIC,MRC,SAND,REDOUTE'S CHOICE STAKES,1100,"175,000",2-Y-O,O,Hcp,REDOUTE'S CHOICE STAKES
15-Apr-23,320,2,WA,WATC,ASCT,KARRAKATTA PLATE,1200,"500,000",2-Y-O,O,SW,KARRAKATTA PLATE
15-Apr-23,230,4,SA,SAJC,MORP,DEQUETTEVILLE STAKES,1050,"107,250",2-Y-O,F,SW,DEQUETTEVILLE STAKES
15-Apr-23,404,4,SA,SAJC,MORP,PORT ADELAIDE GUINEAS,1800,"107,250",3-Y-O,O,SW,PORT ADELAIDE GUINEAS
15-Apr-23,119,3,SA,SAJC,MORP,AURARIA STAKES,1800,"127,250",3-Y-O,F,SWP,AURARIA STAKES
15-Apr-23,689,4,QLD,BRC,E FM,DAYBREAK LOVER,1400,"125,000",3-Y-O,O,SWP,DAYBREAK LOVER
15-Apr-23,104,1,NSW,ATC,RAND,ALL AGED STAKES,1400,"600,000",O,O,WFA,ALL AGED STAKES
15-Apr-23,24,1,NSW,ATC,RAND,CHAMPAGNE STAKES,1600,"600,000",2-Y-O,O,SW,CHAMPAGNE STAKES
15-Apr-23,266,3,NSW,ATC,RAND,FRANK PACKER PLATE,2000,"200,000",3-Y-O,O,SW,FRANK PACKER PLATE
15-Apr-23,295,3,NSW,ATC,RAND,HALL MARK STAKES,1200,"200,000",3YO&Up,O,SWP,HALL MARK STAKES
15-Apr-23,173,3,NSW,ATC,RAND,JAMES H B CARR STAKES,1400,"200,000",3-Y-O,F,SWP,J H B CARR STAKES
15-Apr-23,643,3,NSW,ATC,RAND,JAPAN RACING ASSOC PLATE,2000,"200,000",3YO&Up,O,Qlty,JAPAN RACING ASSCTIAN PLT
15-Apr-23,240,3,VIC,MRC,SAND,EASTER CUP,2000,"200,000",O,O,Hcp,VATC EASTER CUP
15-Apr-23,526,3,VIC,MRC,SAND,VICTORIA HANDICAP,1400,"200,000",O,O,Hcp,VICTORIA HANDICAP
15-Apr-23,729,4,VIC,MRC,SAND,GALILEE SERIES FINAL,2400,"200,000",3-Y-O,O,SWP,GALILEE SERIES FINAL
15-Apr-23,938,4,VIC,MRC,SAND,BEL ESPRIT STAKES,1200,"175,000",O,O,Hcp,BEL ESPRIT STAKES
22-Apr-23,314,3,SA,SAJC,MORP,R N IRWIN STAKES,1100,"127,250",O,O,WFA,R N IRWIN STAKES
22-Apr-23,631,4,SA,SAJC,MORP,REDELVA STAKES,1100,"107,250",3-Y-O,O,SWP,REDELVA STAKES
22-Apr-23,383,4,SA,SAJC,MORPP,H C NITSCHKE STAKES,1400,"107,250",3-Y-O,O,SWP,H C NITSCHKE STAKES
22-Apr-23,430,4,SA,SAJC,MORPP,CITY OF ADELAIDE HCP,1400,"107,250",O,O,Qlty,CITY OF ADELAIDE HCP
22-Apr-23,115,4,QLD,BRC,DOOM,ASCOT HANDICAP,1200,"125,000",3YO&Up,O,Qlty,ASCOT HANDICAP
22-Apr-23,746,4,QLD,BRC,DOOM,MICK DITTMAN PLATE,1110,"125,000",3-Y-O,O,SW,MICK DITTMAN PLATE
22-Apr-23,711,4,QLD,BRC,DOOM,PRINCESS STAKES,1600,"125,000",3-Y-O,F,SW,PRINCESS STAKES
22-Apr-23,238,4,QLD,BRC,DOOM,TAILS QUALITY,1600,"125,000",3YO&Up,O,Qlty,TAILS QUALITY
22-Apr-23,702,4,WA,WATC,ASCT,SHEILA GWYNNE STAKES,1400,"125,000",3YO&Up,F&M,SWP,MATCHMAKER CLASSIC
22-Apr-23,370,4,VIC,MORN RC,MORN,MORNINGTON CUP,2400,"300,000",O,O,Hcp,MORNINGTON CUP
22-Apr-23,111,4,VIC,MORN RC,MORN,HAREEBA STAKES,1200,"200,000",O,O,Hcp,HAREEBA STAKES
25-Apr-23,22,4,VIC,VRC,FLEM,VRC ST LEGER,2800,"300,000",3-Y-O,O,SW,VRC ST LEGER
25-Apr-23,471,4,VIC,VRC,FLEM,ANZAC DAY STAKES,1400,"175,000",2-Y-O,O,Hcp,ANZAC DAY HANDICAP
29-Apr-23,540,3,SA,SAJC,MORP,BREEDERS' STAKES,1200,"127,250",2-Y-O,O,SW,BREEDERS STAKES
29-Apr-23,184,3,SA,SAJC,MORP,CHAIRMAN'S STAKES,2000,"127,250",3-Y-O,O,SW,SAJC CHAIRMAN'S STAKES
29-Apr-23,121,1,SA,SAJC,MORP,AUSTRALASIAN OAKS,2000,"502,250",3-Y-O,F,SW,AUSTRALASIAN OAKS
29-Apr-23,30,4,SA,SAJC,MORP,PORT ADELAIDE CUP,2500,"107,250",O,O,Qlty,PORT ADELAIDE CUP
29-Apr-23,32,2,QLD,BRC,E FM,QUEENSLAND GUINEAS,1600,"350,000",3-Y-O,O,SW,QUEENSLAND GUINEAS
29-Apr-23,463,2,QLD,BRC,E FM,VICTORY STAKES,1200,"250,000",3YO&Up,O,WFA,VICTORY STAKES
29-Apr-23,719,4,QLD,BRC,E FM,DALRELLO STAKES,1200,"140,000",2-Y-O,O,SW,DALRELLO STAKES
29-Apr-23,297,3,NSW,HAWK,HAWK,HAWKESBURY GOLD CUP,1600,"200,000",3YO&Up,O,Hcp,HAWKESBURY GOLD CUP
29-Apr-23,655,3,NSW,HAWK,HAWK,HAWKESBURY GUINEAS,1400,"200,000",3-Y-O,O,SWP,HAWKESBURY GUINEAS
29-Apr-23,717,3,NSW,HAWK,HAWK,HAWKESBURY CROWN,1300,"200,000",O,F&M,SWP,HAWKESBURY CROWN
29-Apr-23,970,4,NSW,HAWK,HAWK,HAWKESBURY RUSH,1100,"160,000",O,O,Qlty,HAWKESBURY RUSH
29-Apr-23,697,4,VIC,MRC,SAND,THOROUGHBRED CLUB ANNIVERSARY VASE,1400,"175,000",O,O,Hcp,ANNIVERSARY VASE
30-Apr-23,748,3,WA,NTHM,NTHM,NORTHAM STAKES,1100,"150,000",3YO&Up,O,SWP,NORTHAM STAKES
29-Apr-23,467,3,WA,WATC,ASCT,W.A. SIRES' PRODUCE STAKES,1400,"200,000",2-Y-O,O,SW,WATC SIRES PRODUCE
3-May-23,723,4,VIC,WRC,WARN,WANGOOM HCP,1200,"200,000",O,O,Hcp,WANGOOM HCP
4-May-23,715,4,VIC,WRC,WARN,WARRNAMBOOL CUP,2350,"300,000",O,O,Hcp,WARRNAMBOOL CUP
5-May-23,530,4,NSW,WAGG,WAGG,WAGGA WAGGA GOLD CUP,2000,"200,000",O,O,Hcp,WAGGA WAGGA GOLD CUP
6-May-23,495,1,SA,SAJC,MORP,ROBERT SANGSTER STAKES,1200,"502,250",O,F&M,WFA,ROBERT SANGSTER STAKES
6-May-23,414,2,SA,SAJC,MORP,QUEEN OF THE SOUTH STAKES,1600,"202,250",3YO&Up,F&M,SWP,QUEEN OF THE SOUTH STAKES
6-May-23,292,2,SA,SAJC,MORP,TOBIN BRONZE STAKES,1200,"202,250",3-Y-O,O,SW,EUCLASE CLASSIC
6-May-23,350,3,SA,SAJC,MORP,D C MCKAY STAKES,1100,"127,250",O,O,Qlty,D C MCKAY STAKES
6-May-23,411,4,SA,SAJC,MORP,WITHOUT FEAR STAKES,1050,"107,250",2-Y-O,O,SW,QUEEN ADELAIDE STAKES
6-May-23,589,2,QLD,GCST,GCST,A D HOLLINDALE STAKES,1800,"500,000",3YO&Up,O,WFA,A D HOLLINDALE STAKES
6-May-23,687,3,QLD,GCST,GCST,GOLD COAST GUINEAS,1200,"150,000",3-Y-O,O,SW,GOLD COAST GUINEAS
6-May-23,436,3,QLD,GCST,GCST,KEN RUSSELL MEMORIAL CLASSIC,1200,"150,000",O,O,SW,KEN RUSSELL MEMORIAL CLASSIC
6-May-23,688,4,QLD,GCST,GCST,GOLD COAST BRACELET,1800,"150,000",3-Y-O,F,SW,GOLD COAST BRACELET
6-May-23,616,4,QLD,GCST,GCST,SILK STOCKING,1300,"150,000",O,F&M,Qlty,SILK STOCKING
6-May-23,615,4,QLD,GCST,GCST,PRIME MINISTER'S CUP,1400,"125,000",O,O,Qlty,PRIME MINISTER'S CUP
6-May-23,284,4,NSW,GOSF,GOSF,GOSFORD GOLD CUP,2100,"250,000",3YO&Up,O,Qlty,GOSFORD GOLD CUP
6-May-23,395,4,NSW,GOSF,GOSF,TAKEOVER TARGET STAKES,1200,"160,000",3YO&Up,O,Qlty,TAKEOVER TARGET
12-May-23,683,4,QLD,BRC,DOOM,BRIGHT SHADOW QUALITY,1110,"125,000",3YO&Up,F&M,SWP,BRIGHT SHADOW QUALITY
12-May-23,676,4,NSW,SCNE,SCNE,SCONE CUP,1600,"200,000",O,O,Qlty,SCONE CUP
13-May-23,26,1,SA,SAJC,MORP,SOUTH AUSTRALIAN DERBY,2500,"502,250",3-Y-O,O,SW,SA DERBY
13-May-23,466,3,SA,SAJC,MORPP,SOUTH AUSTRALIAN SIRES PRODUCE STAKES,1400,"127,250",2-Y-O,O,SW,SAJC SIRES' PRODUCE STAKES
13-May-23,100,4,SA,SAJC,MORP,ADELAIDE GUINEAS,1600,"107,250",3-Y-O,O,SW,ADELAIDE GUINEAS
13-May-23,38,1,QLD,BRC,DOOM,"DOOMBEN 10,000",1200,"1,000,000",O,O,WFA,"DOOMBEN 10,000"
13-May-23,206,2,QLD,BRC,DOOM,CHAMPAGNE CLASSIC,1200,"250,000",2-Y-O,O,SW,CHAMPAGNE CLASSIC
13-May-23,624,3,QLD,BRC,DOOM,ROUGH HABIT PLATE,2000,"250,000",3-Y-O,O,SW,ROUGH HABIT PLATE
13-May-23,183,3,QLD,BRC,DOOM,CHAIRMAN'S HANDICAP,2000,"150,000",3YO&Up,O,Qlty,CHAIRMAN'S HANDICAP
13-May-23,622,4,QLD,BRC,DOOM,MEMBERS' HANDICAP,1600,"125,000",O,O,Qlty,MEMBERS' HANDICAP
13-May-23,652,3,NSW,SCNE,SCNE,DARK JEWEL CLASSIC,1400,"200,000",O,F&M,Qlty,DARK JEWEL CLASSIC
13-May-23,766,4,NSW,SCNE,SCNE,DENISE'S JOY STAKES,1100,"160,000",3-Y-O,F,Qlty,DENISE'S JOY STAKES
13-May-23,764,4,NSW,SCNE,SCNE,LUSKIN STAR STAKES,1300,"160,000",O,O,Qlty,LUSKIN STAR STAKES
13-May-23,738,4,NSW,SCNE,SCNE,ORTENSIA STAKES,1100,"160,000",O,O,Qlty,ORTENSIA STAKES
13-May-23,765,4,NSW,SCNE,SCNE,WOODLANDS STAKES,1100,"160,000",2-Y-O,F,Qlty,WOODLANDS STAKES
13-May-23,946,RL,NSW,SCNE,SCNE,INGLIS 3YO GUINEAS,1600,"200,000",3-Y-O,O,SW,INGLIS 3YO GUINEAS
13-May-23,237,4,VIC,VRC,FLEM,ANDREW RAMSDEN STAKES,2800,"500,000","3YO,4YO & 5YO",O,Hcp,ANDREW RAMSDEN STAKES
13-May-23,140,3,WA,WATC,BLMT,BELMONT SPRINT,1400,"200,000",2YO&Up,O,WFA,BELMONT SPRINT
20-May-23,27,1,SA,SAJC,MORP,THE GOODWOOD,1200,"502,250",O,O,SWP,SAJC GOODWOOD
20-May-23,200,3,SA,SAJC,MORP,R A LEE STAKES,1600,"152,250",O,O,SWP,R A LEE STAKES
20-May-23,443,3,SA,SAJC,MORP,SA FILLIES CLASSIC,2500,"152,250",3-Y-O,F,SW,SA FILLIES CLASSIC
20-May-23,379,3,SA,SAJC,MORP,DAVID COLES AM STAKES,1200,"127,250",2-Y-O,O,SW,NATIONAL STAKES
20-May-23,703,3,SA,SAJC,MORP,PROUD MISS STAKES,1200,"127,250",3YO&Up,F&M,SWP,PROUD MISS STAKES
20-May-23,632,4,SA,SAJC,MORP,CENTAUREA STAKES,2000,"107,250",O,F&M,SWP,CENTAUREA STAKES
20-May-23,39,1,QLD,BRC,DOOM,DOOMBEN CUP,2000,"1,000,000",3YO&Up,O,WFA,DOOMBEN CUP
20-May-23,657,2,QLD,BRC,DOOM,THE ROSES,2000,"250,000",3-Y-O,F,SW,THE ROSES
20-May-23,132,3,QLD,BRC,DOOM,BRC SPRINT,1350,"250,000",O,O,Qlty,BRC SPRINT
20-May-23,339,4,QLD,BRC,DOOM,BILL CARTER STAKES,1200,"150,000",2-Y-O,F,SW,BILL CARTER STAKES
20-May-23,685,4,QLD,BRC,DOOM,HELEN COUGHLIN STAKES,1200,"150,000",3YO&Up,F&M,SWP,JUANMO STAKES
20-May-23,392,4,NSW,ATC,RHIL,LORD MAYOR'S CUP,2000,"160,000",3YO&Up,O,Qlty,LORD MAYOR'S CUP
20-May-23,485,4,VIC,VRC,FLEM,THE STRAIGHT SIX,1200,"175,000",O,O,Hcp,THE STRAIGHT SIX
27-May-23,514,1,QLD,BRC,E FM,KINGSFORD-SMITH CUP,1300,"700,000",O,O,WFA,BTC CUP
27-May-23,33,1,QLD,BRC,E FM,QUEENSLAND DERBY,2400,"1,000,000",3-Y-O,O,SW,QUEENSLAND DERBY
27-May-23,37,2,QLD,BRC,E FM,BRC SIRES' PRODUCE,1400,"1,000,000",2-Y-O,O,SW,BRC SIRES' PRODUCE
27-May-23,212,3,QLD,BRC,E FM,FRED BEST CLASSIC,1400,"200,000",3-Y-O,O,SW,FRED BEST CLASSIC
27-May-23,171,3,QLD,BRC,E FM,LORD MAYOR'S CUP,1800,"150,000",3YO&Up,O,SWP,LORD MAYOR'S CUP
27-May-23,408,3,QLD,BRC,E FM,PREMIER'S CUP,2400,"150,000",O,O,Qlty,PREMIER'S CUP
27-May-23,312,3,WA,WATC,BLMT,HYPERION STAKES,1600,"200,000",3YO&Up,O,WFA,HYPERION STKS
3-Jun-23,35,1,QLD,BRC,E FM,QUEENSLAND OAKS,2200,"700,000",3-Y-O,F,SW,QUEENSLAND OAKS
3-Jun-23,110,2,QLD,BRC,E FM,MORETON CUP,1200,"250,000",O,O,SWP,QTC CUP
3-Jun-23,483,4,QLD,BRC,E FM,LIGHTNING HANDICAP,1000,"125,000",O,O,Qlty,LIGHTNING HANDICAP
3-Jun-23,707,4,QLD,BRC,E FM,QUEENSLAND DAY STAKES,1200,"125,000",3-Y-O,O,SW,QUEENSLAND DAY STAKES
3-Jun-23,578,4,QLD,BRC,E FM,SPEAR CHIEF HANDICAP,1400,"125,000",O,O,Hcp,SPEAR CHIEF HANDICAP
3-Jun-23,419,4,QLD,BRC,E FM,THE PHOENIX,1500,"125,000",2-Y-O,O,SW,THE PHOENIX
3-Jun-23,420,4,WA,WATC,BLMT,RACONTEUR STAKES,1400,"125,000",3-Y-O,O,SWP,RACONTEUR STKS
3-Jun-23,546,4,NSW,ATC,RHIL,WINTER CUP,2400,"160,000",3YO&Up,O,Qlty,STC WINTER CUP
10-Jun-23,658,4,QLD,TATTS RC QLD,E FM,TATTERSALL'S LIFE MEMBER STAKES,1400,"130,000",2-Y-O,O,SW,MERCEDES-BENZ STAKES
10-Jun-23,34,1,QLD,BRC,E FM,STRADBROKE HANDICAP,1400,"1,500,000",O,O,Qlty,STRADBROKE HANDICAP
10-Jun-23,177,1,QLD,BRC,E FM,J.J. ATKINS,1600,"1,000,000",2-Y-O,O,SW,J.J. ATKINS
10-Jun-23,385,2,QLD,BRC,E FM,Q 22,2200,"1,500,000",O,O,WFA,P J O'SHEA STAKES
10-Jun-23,36,2,QLD,BRC,E FM,BRISBANE CUP,3200,"400,000",3YO&Up,O,QLTY,BRISBANE CUP
10-Jun-23,669,2,QLD,BRC,E FM,DANE RIPPER STAKES,1300,"200,000",O,F&M,SWP,DANE RIPPER STAKES
10-Jun-23,575,3,QLD,BRC,E FM,GUNSYND CLASSIC,1600,"200,000",3-Y-O,O,SW,GUNSYND CLASSIC
10-Jun-23,246,4,QLD,BRC,E FM,HINKLER HANDICAP,1200,"150,000",3YO&Up,O,Qlty,HINKLER HANDICAP
10-Jun-23,602,4,QLD,BRC,E FM,OXLADE STAKES,1200,"150,000",2-Y-O,O,SW,OXLADE STAKES
10-Jun-23,410,4,QLD,BRC,E FM,THE WAYNE WILSON,1600,"150,000",3YO&Up,O,WFA,
10-Jun-23,318,4,NSW,ATC,RAND,BOB CHARLEY AO STAKES,1100,"160,000",O,O,Qlty,JUNE STAKES
17-Jun-23,255,4,QLD,IPSW,IPSW,EYE LINER STAKES,1350,"200,000",O,O,Qlty,EYE LINER STAKES
17-Jun-23,313,4,QLD,IPSW,IPSW,IPSWICH CUP,2150,"175,000",O,O,Qlty,IPSWICH CUP
17-Jun-23,690,4,QLD,IPSW,IPSW,GAI WATERHOUSE CLASSIC,1350,"125,000",O,F&M,Qlty,GAI WATERHOUSE CLASSIC
17-Jun-23,136,4,WA,WATC,BLMT,BELMONT GUINEAS,1600,"125,000",3-Y-O,O,SW,BELMONT GUINEAS
17-Jun-23,351,4,NSW,ATC,RAND,W J MCKELL CUP,2000,"160,000",3YO&Up,O,Qlty,W J MCKELL CUP
17-Jun-23,274,4,VIC,VRC,FLEM,A.R. CRESWICK STAKES,1200,"175,000",3-Y-O,O,SWP,A.R. CRESWICK STAKES
24-Jun-23,601,1,QLD,TATTS RC QLD,E FM,TATTERSALL'S TIARA,1400,"700,000",O,F&M,WFA,TATTERSALL'S TIARA
24-Jun-23,176,3,QLD,TATTS RC QLD,E FM,TATTERSALL'S CUP,2400,"200,000",O,O,SWP,TATTERSALL'S CUP
24-Jun-23,299,3,QLD,TATTS RC QLD,E FM,W J HEALY STAKES,1200,"175,000",O,O,Qlty,W J HEALY STAKES
24-Jun-23,691,4,QLD,TATTS RC QLD,E FM,TATTERSALL'S GOLD CROWN,2100,"200,000",O,F&M,SWP,TATTERSALL'S MILE
24-Jun-23,486,3,WA,WATC,BLMT,STRICKLAND STAKES,2000,"200,000",3YO&Up,O,WFA,STRICKLAND STKS
24-Jun-23,204,4,NSW,ATC,RHIL,CIVIC STAKES,1350,"160,000",3YO&Up,O,Qlty,CIVIC STAKES
1-Jul-23,708,3,QLD,SCST,SCTC,WINX GUINEAS,1600,"200,000",3-Y-O,O,SW,SUNSHINE COAST GUINEAS
1-Jul-23,600,4,QLD,SCST,SCTC,CALOUNDRA CITY CUP,2400,"175,000",O,O,Qlty,CALOUNDRA CITY CUP
1-Jul-23,625,4,QLD,SCST,SCTC,GLASSHOUSE HANDICAP,1400,"175,000",O,O,Qlty,GLASSHOUSE HANDICAP
1-Jul-23,113,4,WA,WATC,BLMT,AQUANITA STAKES,2000,"125,000",3-Y-O,C&G,SW,AQUANITA STKS
1-Jul-23,138,4,WA,WATC,BLMT,BELMONT OAKS,2000,"125,000",3-Y-O,F,SW,BELMONT OAKS
1-Jul-23,429,4,VIC,VRC,FLEM,VRC WINTER CHAMPIONSHIP,1600,"200,000",3YO&Up,O,Hcp,VRC WINTER CHAMPIONSHIP
1-Jul-23,744,4,VIC,VRC,FLEM,ALL VICTORIAN SPRINT FINAL,1200,"175,000",3YO&Up,O,Hcp,ALL VICTORIAN SPRINT FINAL
1-Jul-23,278,4,VIC,VRC,FLEM,TAJ ROSSI SERIES FINAL,1600,"175,000",2-Y-O,O,Hcp,GIBSON CARMICHAEL STAKES
5-Jul-23,422,4,NSW,CLARENCE RIV JC,GRAF,RAMORNIE HANDICAP,1200,"200,000",O,O,Qlty,RAMORNIE HANDICAP
6-Jul-23,287,4,NSW,CLARENCE RIV JC,GRAF,GRAFTON CUP,2350,"200,000",O,O,Qlty,GRAFTON CUP
8-Jul-23,435,3,QLD,BRC,DOOM,PAM O'NEILL STAKES,1600,"500,000",O,F&M,WFA,GLENLOGAN PARK STAKES
8-Jul-23,684,4,QLD,BRC,DOOM,CHIEF DE BEERS QUALITY,1110,"125,000",O,O,Qlty,CHIEF DE BEERS QUALITY
8-Jul-23,577,4,WA,WATC,BLMT,BEAUFINE STAKES,1000,"125,000",2YO&Up,O,Qlty,BEAUFINE STKS
8-Jul-23,548,4,NSW,ATC,RHIL,WINTER STAKES,1400,"160,000",3YO&Up,O,Qlty,WINTER STAKES
8-Jul-23,367,3,VIC,MRC,CAUL,SIR JOHN MONASH STAKES,1100,"200,000",O,O,WFA,SIR JOHN MONASH STAKES
15-Jul-23,386,4,SA,SAJC,MORP,OAKLANDS PLATE,1400,"107,250",2-Y-O,O,SWP,OAKLANDS PLATE
15-Jul-23,634,4,WA,WATC,BLMT,BELMONT CLASSIC,2200,"125,000",3-Y-O,,SW,BELMONT CLASSIC
22-Jul-23,151,4,WA,WATC,BLMT,H.G. BOLTON SPRINT,1200,"125,000",2YO&Up,O,Qlty,H.G. BOLTON SPRINT
23-Jul-23,636,3,VIC,MRC,CAUL,BLETCHINGLY STAKES,1200,"200,000",O,O,WFA,BLETCHINGLY STAKES
29-Jul-23,331,4,SA,SAJC,MORP,LIGHTNING STAKES,1050,"107,250",2&3YO,O,SW,LIGHTNING STAKES
29-Jul-23,737,4,NSW,ATC,RHIL,WINTER CHALLENGE,1500,"160,000",3YO&Up,O,Qlty,WINTER CHALLENGE
