Meeting Date,G ID,Grp,State,Club,Venue,Seasonal Race Name (2022/23),Dist,Prizemoney $$$     ,Age,Sex,,Registered Race Name
12-Mar-23,667,4,WA,WATC,ASCT,NATASHA STAKES,2200,"125,000",3-Y-O,F,SWP,NATASHA STKS
12-Mar-23,146,3,ACT,CANB,CANB,BLACK OPAL STAKES,1200,"250,000",2-Y-O,O,SWP,BLACK OPAL STAKES
12-Mar-23,437,4,ACT,CANB,CANB,NATIONAL SPRINT,1400,"150,000",O,O,Qlty,NATIONAL SPRINT
13-Mar-23,161,4,ACT,CANB,CANB,CANBERRA CUP,2000,"250,000",O,O,Qlty,CANBERRA CUP
13-Mar-23,735,4,ACT,CANB,CANB,CANBERRA GUINEAS,1400,"150,000",3-Y-O,O,SWP,CANBERRA GUINEAS
13-Mar-23,28,2,SA,SAJC,MORP,ADELAIDE CUP,3200,"302,250",O,O,Hcp,ADELAIDE CUP
13-Mar-23,503,4,SA,SAJC,MORP,C S HAYES MEMORIAL CUP,1600,"107,250",O,O,Qlty,COLIN HAYES MEMORIAL CUP
13-Mar-23,199,4,SA,SAJC,MORP,CINDERELLA STAKES,1050,"107,250",2-Y-O,F,SW,CINDERELLA STAKES
13-Mar-23,574,4,SA,SAJC,MORP,MATRICE STAKES,1200,"107,250",O,O,SWP,MATRICE STAKES
13-Mar-23,373,4,SA,SAJC,MORP,MORPHETTVILLE GUINEAS,1600,"107,250",3-Y-O,O,SW,MORPHETTVILLE GUINEAS
18-Mar-23,740,4,VIC,MVRC,THE VALLEY,ABELL STAKES,1200,"175,000",O,O,Hcp,MOONEE VALLEY QUALITY
18-Mar-23,731,3,VIC,MVRC,THE VALLEY,TYPHOON TRACY STAKES,1200,"200,000",3-Y-O,F,SWP,TYPHOON TRACY STAKES
18-Mar-23,492,4,WA,WATC,ASCT,SUPREMACY STAKES,1000,"125,000",2-Y-O,O,SWP,SUPREMACY STKS
18-Mar-23,102,2,VIC,MVRC,THE VALLEY,ALISTER CLARK STAKES,2040,"750,000",3-Y-O,O,SW,ALISTER CLARK STAKES
18-Mar-23,7,1,NSW,ATC,RHIL,GOLDEN SLIPPER STAKES,1200,"5,000,000",2-Y-O,O,SW,GOLDEN SLIPPER STAKES
18-Mar-23,277,1,NSW,ATC,RHIL,GEORGE RYDER STAKES,1500,"1,000,000",3YO&Up,O,WFA,GEORGE RYDER STAKES
18-Mar-23,423,1,NSW,ATC,RHIL,RANVET STAKES,2000,"700,000",3YO&Up,O,WFA,RAWSON STAKES
18-Mar-23,272,1,NSW,ATC,RHIL,THE GALAXY,1100,"700,000",3YO&Up,O,Hcp,THE GALAXY
18-Mar-23,15,1,NSW,ATC,RHIL,ROSEHILL GUINEAS,2000,"600,000",3-Y-O,O,SW,ROSEHILL GUINEAS
18-Mar-23,143,3,NSW,ATC,RHIL,BIRTHDAY CARD STAKES,1200,"200,000",3YO&Up,F&M,Qlty,BIRTHDAY CARD STKS
18-Mar-23,660,3,NSW,ATC,RHIL,EPONA STAKES,1900,"200,000",3YO&Up,F&M,SWP,EPONA STAKES
18-Mar-23,344,3,NSW,ATC,RHIL,N E MANION QUALITY CUP,2400,"200,000",3YO&Up,O,Qlty,N E MANION CUP
18-Mar-23,224,4,NSW,ATC,RHIL,DARBY MUNRO STAKES,1200,"160,000",3-Y-O,O,SWP,DARBY MUNRO STKS
19-Mar-23,640,4,QLD,GCST,GCST,GOLDMARKET HANDICAP,1200,"125,000",O,O,Qlty,GOLDMARKET HANDICAP
24-Mar-23,736,4,NSW,ARC,ALB,ALBURY GOLD CUP,2000,"200,000",O,O,Qlty,ALBURY CUP
24-Mar-23,544,1,VIC,MVRC,THE VALLEY,WILLIAM REID STAKES,1200,"1,000,000",O,O,WFA,WILLIAM REID STAKES
24-Mar-23,232,2,VIC,MVRC,THE VALLEY,SUNLINE STAKES,1600,"300,000",3YO&Up,F&M,WFA,SUNLINE STAKES
24-Mar-23,263,3,VIC,MVRC,THE VALLEY,ALEXANDRA STAKES,1600,"200,000",3-Y-O,F,SWP,ALEXANDRA STAKES
24-Mar-23,291,4,VIC,MVRC,THE VALLEY,THE VALLEY PEARL,1000,"175,000",2-Y-O,O,SW,ST. ALBANS STAKES
25-Mar-23,352,4,WA,WATC,ASCT,MELVISTA STAKES,2200,"125,000",3-Y-O,C&G,SWP,MELVISTA STKS
25-Mar-23,566,4,WA,WATC,ASCT,GRANDSTAND CUP,1500,"125,000",3YO&Up,O,Qlty,GRANDSTAND CUP
25-Mar-23,529,3,WA,WATC,ASCT,W.A. OAKS,2400,"250,000",3-Y-O,F,SW,WA OAKS
25-Mar-23,3,1,NSW,ATC,RHIL,H.E. TANCRED STAKES,2400,"1,500,000",3YO&Up,O,WFA,H E TANCRED STAKES
25-Mar-23,484,1,NSW,ATC,RHIL,STORM QUEEN STAKES,2000,"600,000",3-Y-O,F,SW,STORM QUEEN STAKES
25-Mar-23,248,2,NSW,ATC,RHIL,EMANCIPATION STAKES,1500,"250,000",3YO&Up,F&M,SWP,EMANCIPATION STAKES
25-Mar-23,174,2,NSW,ATC,RHIL,TULLOCH STAKES,2000,"250,000",3-Y-O,C&G,SW,TULLOCH STAKES
25-Mar-23,439,3,NSW,ATC,RHIL,DONCASTER PRELUDE,1500,"200,000",3YO&Up,O,Qlty,ROYAL PARMA STAKES
25-Mar-23,572,3,NSW,ATC,RHIL,NEVILLE SELLWOOD STAKES,2000,"200,000",4YO&Up,O,SWP,NEVILLE SELLWOOD STAKES
25-Mar-23,481,3,NSW,ATC,RHIL,STAR KINGDOM STAKES,1200,"200,000",3YO&Up,O,Qlty,STAR KINGDOM STKS
25-Mar-23,126,3,NSW,ATC,RHIL,THE SCHWEPPERVESCENCE,1400,"200,000",2-Y-O,O,Qlty,T L BAILLIEU HCP
25-Mar-23,18,1,VIC,VRC,FLEM,AUSTRALIAN CUP,2000,"3,000,000",O,O,WFA,AUSTRALIAN CUP
25-Mar-23,730,4,VIC,VRC,FLEM,ROY HIGGINS QUALITY,2600,"500,000",3-Y-O,O,Qlty,ROY HIGGINS QUALITY
25-Mar-23,366,4,VIC,VRC,FLEM,MOOMBA PLATE,1100,"175,000",3-Y-O,O,Hcp,MOOMBA PLATE
26-Mar-23,967,4,WA,BUNB,BUNB,SOUTH WEST AUTUMN CUP,2300,"125,000",O,O,Qlty,SOUTH WEST AUTUMN CUP
1-Apr-23,456,4,WA,WATC,ASCT,PERTH STKS,1100,"150,000",2-Y-O,C&G,SWP,PERTH STKS
1-Apr-23,432,3,WA,WATC,BLMT,ROMA CUP,1200,"200,000",2YO&Up,O,WFA,ROMA CUP
1-Apr-23,280,3,WA,WATC,ASCT,GIMCRACK STKS,1100,"150,000",2-Y-O,F,SWP,WATC GIMCRACK STKS
1-Apr-23,327,4,SA,SAJC,MORP,CLARE LINDOP STAKES,1600,"107,250",3-Y-O,F,SWP,LAELIA STAKES
1-Apr-23,250,4,SA,SAJC,MORP,MANIHI CLASSIC,1100,"107,250",O,O,Qlty,MANIHI CLASSIC
1-Apr-23,13,1,NSW,ATC,RAND,DONCASTER HANDICAP,1600,"3,000,000",3YO&Up,O,Hcp,DONCASTER HANDICAP
1-Apr-23,646,1,NSW,ATC,RAND,T J SMITH STAKES,1200,"2,500,000",O,O,WFA,T J SMITH STAKES
